date,season,RecNo,batting team,batter,non_striker,bowler,ball no,over no,runs_off_bat,extras_off_ball,legbyes,wides,byes,noballs,total_off_ball,innings total,wickets_fallen,player_out,dismissal,fielder_involved,fielder_in,fielder_out,reason,player_role,review_by,umpire_at_review,batter_at_review,review_decision,umpires_call,non_boundary
2014-03-23,2013/14,14a1,New Zealand,SW Bates,FL Mackay,RM Farrell,1,1,0.0,0.0,,,,,0.0,0.0,0,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SW Bates,FL Mackay,RM Farrell,2,1,0.0,0.0,,,,,0.0,0.0,0,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SW Bates,FL Mackay,RM Farrell,3,1,0.0,0.0,,,,,0.0,0.0,0,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SW Bates,FL Mackay,RM Farrell,4,1,4.0,0.0,,,,,4.0,4.0,0,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SW Bates,FL Mackay,RM Farrell,5,1,0.0,0.0,,,,,0.0,4.0,0,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SW Bates,FL Mackay,RM Farrell,6,1,1.0,0.0,,,,,1.0,5.0,0,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SW Bates,FL Mackay,JL Jonassen,1,2,0.0,0.0,,,,,0.0,5.0,1,SW Bates,lbw,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,JL Jonassen,2,2,4.0,0.0,,,,,4.0,9.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,JL Jonassen,3,2,0.0,0.0,,,,,0.0,9.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,JL Jonassen,4,2,0.0,0.0,,,,,0.0,9.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,JL Jonassen,5,2,0.0,0.0,,,,,0.0,9.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,JL Jonassen,6,2,0.0,0.0,,,,,0.0,9.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,FL Mackay,SJ McGlashan,HL Ferling,1,3,0.0,0.0,,,,,0.0,9.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,FL Mackay,SJ McGlashan,HL Ferling,2,3,1.0,0.0,,,,,1.0,10.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,HL Ferling,3,3,2.0,0.0,,,,,2.0,12.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,HL Ferling,4,3,4.0,0.0,,,,,4.0,16.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,HL Ferling,5,3,4.0,0.0,,,,,4.0,20.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,HL Ferling,6,3,0.0,0.0,,,,,0.0,20.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,FL Mackay,SJ McGlashan,JL Jonassen,1,4,0.0,0.0,,,,,0.0,20.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,FL Mackay,SJ McGlashan,JL Jonassen,2,4,0.0,0.0,,,,,0.0,20.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,FL Mackay,SJ McGlashan,JL Jonassen,3,4,0.0,1.0,,1.0,,,1.0,21.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,FL Mackay,SJ McGlashan,JL Jonassen,4,4,4.0,0.0,,,,,4.0,25.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,FL Mackay,SJ McGlashan,JL Jonassen,5,4,1.0,0.0,,,,,1.0,26.0,1,,,,,,,,,,,,,
2014-03-23,2013/14,14a1,New Zealand,SJ McGlashan,FL Mackay,JL Jonassen,6,4,0.0,0.0,,,,,0.0,26.0,1,,,,,,,,,,,,,
