date,season,stage,match_number,Team 1,Team 2,city,venue,Team 1 Players,Team 2 Players,toss winner,decision from toss,Umpire 1,Umpire 2,tv_umpires,reserve_umpires,match_referees,winner,loser,won by (runs),won by (wickets),was result?,used D/L,player_of_match
2014-03-23,2013/14,Group A,1.0,Australia,New Zealand,,Sylhet Stadium,"['EJ Villani', 'AJ Healy', 'MM Lanning', 'JE Cameron', 'AJ Blackwell', 'EA Perry', 'JL Jonassen', 'EA Osborne', 'SJ Coyte', 'RM Farrell', 'HL Ferling']","['SW Bates', 'FL Mackay', 'SJ McGlashan', 'KT Perkins', 'RH Priest', 'NJ Browne', 'KJ Martin', 'ML Green', 'HNK Jensen', 'HR Huddleston', 'MJG Nielsen']",Australia,field,M Erasmus,IJ Gould,,REJ Martinesz,DC Boon,New Zealand,Australia,7.0,,,,NJ Browne
2014-03-24,2013/14,Group B,3.0,England,West Indies,,Sylhet Stadium,"['CM Edwards', 'SJ Taylor', 'LS Greenway', 'NR Sciver', 'TT Beaumont', 'HC Knight', 'JL Gunn', 'D Hazell', 'A Shrubsole', 'JM Dibble', 'RL Grundy']","['Kycia A Knight', 'SR Taylor', 'DJS Dottin', 'Kyshona A Knight', 'MR Aguilleira', 'SA Campbelle', 'SL Quintyne', 'SF Daley', 'A Mohammed', 'TD Smartt', 'SC Selman']",England,field,SJ Davis,REJ Martinesz,,BF Bowden,DC Boon,West Indies,England,9.0,,,,DJS Dottin
2014-03-24,2013/14,Group B,4.0,India,Sri Lanka,,Sylhet Stadium,"['M Raj', 'S Mandhana', 'PG Raut', 'J Goswami', 'H Kaur', 'S Pandey', 'Soniya Dabir', 'A Das', 'KV Jain', 'Poonam Yadav', 'G Sultana']","['AC Jayangani', 'BYA Mendis', 'HMD Rasangika', 'HASD Siriwardene', 'LE Kaushalya', 'OU Ranasinghe', 'PRCS Kumarihami', 'KDU Prabodhani', 'HAM Samuddika', 'I Ranaweera', 'RS Vandort']",Sri Lanka,bat,BF Bowden,BNJ Oxenford,,SJ Davis,DC Boon,Sri Lanka,India,22.0,,,,KDU Prabodhani
2014-03-25,2013/14,Group A,5.0,Ireland,New Zealand,,Sylhet Stadium,"['CMA Shillington', 'ELC Flanagan', 'IMHC Joyce', 'EJ Tice', 'CNIM Joyce', 'MEMO Scott-Hayward', 'LN McCarthy', 'MV Waldron', 'L Delany', ""LK O'Reilly"", 'EAJ Richardson']","['SW Bates', 'FL Mackay', 'SJ McGlashan', 'RH Priest', 'NJ Browne', 'KT Perkins', 'KJ Martin', 'ML Green', 'HNK Jensen', 'HR Huddleston', 'MJG Nielsen']",New Zealand,bat,M Erasmus,IJ Gould,,REJ Martinesz,RS Mahanama,New Zealand,Ireland,42.0,,,,SW Bates
2014-03-26,2013/14,Group B,7.0,Bangladesh,West Indies,,Sylhet Stadium,"['Ayasha Rahman', 'Sanjida Islam', 'Salma Khatun', 'Fargana Hoque', 'Rumana Ahmed', 'Nuzhat Tasnia', 'Lata Mondal', 'Panna Ghosh', 'Fahima Khatun', 'Jahanara Alam', 'Khadija Tul Kubra']","['Kycia A Knight', 'SL Quintyne', 'Kyshona A Knight', 'DJS Dottin', 'MR Aguilleira', 'SACA King', 'SA Campbelle', 'A Mohammed', 'TD Smartt', 'SC Selman', 'SF Daley']",West Indies,bat,BF Bowden,IJ Gould,,M Erasmus,RS Mahanama,West Indies,Bangladesh,36.0,,,,SL Quintyne
2014-03-26,2013/14,Group B,8.0,England,India,,Sylhet Stadium,"['SJ Taylor', 'CM Edwards', 'TT Beaumont', 'LS Greenway', 'NR Sciver', 'HC Knight', 'JL Gunn', 'GA Elwiss', 'D Hazell', 'A Shrubsole', 'RL Grundy']","['M Raj', 'S Mandhana', 'L Kumari', 'S Pandey', 'KV Jain', 'H Kaur', 'SK Naidu', 'J Goswami', 'Soniya Dabir', 'Poonam Yadav', 'G Sultana']",India,bat,M Erasmus,REJ Martinesz,,BF Bowden,RS Mahanama,England,India,,5.0,,,A Shrubsole
2014-03-27,2013/14,Group A,10.0,New Zealand,Pakistan,,Sylhet Stadium,"['SW Bates', 'SFM Devine', 'SJ McGlashan', 'RH Priest', 'KT Perkins', 'NJ Browne', 'KJ Martin', 'HNK Jensen', 'FL Mackay', 'MJG Nielsen', 'FC Leydon-Davis']","['Javeria Khan', 'Nain Abidi', 'Nida Dar', 'Bismah Maroof', 'Sana Mir', 'Nahida Khan', 'Asmavia Iqbal', 'Qanita Jalil', 'Batool Fatima', 'Sumaiya Siddiqi', 'Sadia Yousuf']",New Zealand,bat,REJ Martinesz,PR Reiffel,,S Ravi,J Srinath,New Zealand,Pakistan,59.0,,,,SW Bates
2014-03-28,2013/14,Group B,12.0,Sri Lanka,West Indies,,Sylhet Stadium,"['AC Jayangani', 'BYA Mendis', 'SS Weerakkody', 'HASD Siriwardene', 'PRCS Kumarihami', 'LE Kaushalya', 'OU Ranasinghe', 'KDU Prabodhani', 'I Ranaweera', 'HAM Samuddika', 'RS Vandort']","['Kycia A Knight', 'SR Taylor', 'DJS Dottin', 'SA Campbelle', 'SACA King', 'SL Quintyne', 'A Mohammed', 'SF Daley', 'TD Smartt', 'SC Selman', 'MR Aguilleira']",Sri Lanka,bat,RK Illingworth,NJ Llong,,PR Reiffel,RS Mahanama,West Indies,Sri Lanka,,8.0,,,SF Daley
2014-03-29,2013/14,Group A,13.0,Ireland,South Africa,,Sylhet Stadium,"['CMA Shillington', 'MV Waldron', 'IMHC Joyce', 'MEMO Scott-Hayward', 'EJ Tice', 'J Gray', 'EAJ Richardson', 'LN McCarthy', 'K McKenna', 'AJ Kenealy', 'CNIM Joyce']","['L Lee', 'D van Niekerk', 'M du Preez', 'M Kapp', 'CL Tryon', 'S Luus', 'T Chetty', 'Y van der Westhuizen', 'S Loubser', 'S Ismail', 'MM Letsoalo']",South Africa,bat,RK Illingworth,PR Reiffel,,NJ Llong,J Srinath,South Africa,Ireland,86.0,,,,CL Tryon
2014-03-29,2013/14,Group A,14.0,Australia,Pakistan,,Sylhet Stadium,"['AJ Healy', 'EJ Villani', 'MM Lanning', 'EA Perry', 'JE Cameron', 'AJ Blackwell', 'JL Jonassen', 'EA Osborne', 'SJ Coyte', 'RM Farrell', 'HL Ferling']","['Javeria Khan', 'Bismah Maroof', 'Nida Dar', 'Sana Mir', 'Asmavia Iqbal', 'Nahida Khan', 'Sidra Ameen', 'Batool Fatima', 'Sania Khan', 'Sadia Yousuf', 'Anam Amin']",Australia,bat,NJ Llong,S Ravi,,RK Illingworth,J Srinath,Australia,Pakistan,94.0,,,,EJ Villani
2014-03-30,2013/14,Group B,15.0,Bangladesh,India,,Sylhet Stadium,"['Ayasha Rahman', 'Fargana Hoque', 'Salma Khatun', 'Rumana Ahmed', 'Lata Mondal', 'Nuzhat Tasnia', 'Shaila Sharmin', 'Panna Ghosh', 'Fahima Khatun', 'Jahanara Alam', 'Khadija Tul Kubra']","['M Raj', 'H Kaur', 'J Goswami', 'Soniya Dabir', 'S Sharma', 'PG Raut', 'A Das', 'KV Jain', 'Poonam Yadav', 'M Mehta', 'G Sultana']",India,bat,REJ Martinesz,PR Reiffel,,BF Bowden,RS Mahanama,India,Bangladesh,79.0,,,,H Kaur
